Rank,Country,City,Buying_Price_US _$ per_Sq_M.,Rent_per_Month_US_$,Price/Rent_ Ratio,%_of_house_price_change_last_year,%_of_house_price_change_last_5 years,%_of_house_price_change_last_10 years
1,China,Hong Kong,28570,7267,43,15.86,60.05,207.58
2,United Kingdom,London,26262,6504,36,2.19,28.26,22.96
3,United States,New York,17191,4942,34,6.47,32.86,28.18
4,Israel,Tel Aviv,17149,4591,37,-0.49,26.98,113.53
5,Japan,Tokyo,16322,4346,38,4.62,29.85,28.15
6,France,Paris,15867,3965,36,3.12,1.39,1.49
7,Singapore,Singapore,14373,4736,30,9.08,-3.25,17.42
8,Austria,Vienna,14333,2210,51,4.23,17.04,85.9
9,Switzerland,Geneva,14230,4258,30,-2.54,3.42,31.75
10,China,Shanghai,11829,2479,48,-1.82,41.45,64.56
11,Canada,Toronto,10947,4276,26,2.87,42.56,68.67
12,India,Mumbai,10932,2537,43,6.69,60.57,
13,Australia,Sydney,10711,2701,40,2.02,42.19,61.45
14,Taiwan,Taipei,10373,2142,49,1.13,2.53,74.38
15,Norway,Oslo,10268,2844,32,1.66,23.96,61.67
16,Sweden,Stockholm,8669,,,,40.04,55.38
17,Netherlands,Amsterdam,8558,2859,27,8.86,26.93,1.93
18,Czech Republic,Prague,8293,1168,32,10.66,39.46,
19,Finland,Helsinki,8195,3024,24,1.41,1.7,
20,Italy,Rome,8170,2875,26,-0.4,-10.69,-17.08
21,Russia,Moscow,7818,2015,22,1.55,-4.33,-2.27
22,Germany,Berlin,7325,1452,34,3.89,32.87,54.79
23,United Kingdom,Bermuda,7056,5597,21,,,
24,United Kingdom,Tortola,6469,3071,35,,,
25,Spain,Madrid,6173,2215,25,6.38,3.31,-33.57
26,United Arab Emirates,Dubai,5918,3070,19,-6.41,11.96,
27,Luxembourg,Luxembourg,5710,2175,23,5.17,36.1,44.93
28,Turkey,Istanbul,5680,987,52,10.53,92.31,
29,Malta,Valleta,5674,1714,30,13.59,58.07,51.88
30,Denmark,Copenhagen,5306,2304,21,4.93,23.69,3.6
31,Thailand,Bangkok,5266,1373,19,6.33,16.29,48.65
32,Brazil,Sao Paolo,4833,1576,31,1.91,21.83,210.96
33,Portugal,Lisbon,4749,1756,18,6.12,16.37,
34,Slovenia,Ljubljana,4535,1909,21,15.93,21.44,-1.5
35,Greece,Athens,4488,1600,25,0.98,-15.55,-42.07
36,Barbados,St James,4467,,,,,
37,South Africa,Cape Town,4214,1636,26,9.18,26.83,43.78
